epoch,loss,accuracy,precision,recall,f1,auc
1,1.5912409925601891,0.10605504587155963,0.02732919254658385,0.43137254901960786,0.0514018691588785,0.10367049878530987
2,1.0796318385912025,0.6377981651376147,0.13097345132743363,0.9673202614379085,0.23070927513639908,0.8837404324093556
3,1.3111775369508891,0.8851376146788991,0.2916666666666667,0.7320261437908496,0.4171322160148976,0.8917172364020776
4,1.3924768569413573,0.8623853211009175,0.27710843373493976,0.9019607843137255,0.423963133640553,0.8924745118368757
5,1.354575267791748,0.8594495412844037,0.2736220472440945,0.9084967320261438,0.4205748865355522,0.8994678742414539
6,1.5066098048667278,0.8664220183486239,0.2824742268041237,0.8954248366013072,0.42946708463949845,0.897658545014688
7,1.4516420273908548,0.791559633027523,0.20399429386590584,0.934640522875817,0.33489461358313816,0.8876055865581067
8,1.598265295728631,0.8381651376146789,0.24285714285714285,0.8888888888888888,0.3814866760168303,0.8831762876223583
9,1.6368943350655691,0.8572477064220183,0.2620967741935484,0.8496732026143791,0.40061633281972264,0.878482704642251
10,1.6068756756029632,0.7878899082568808,0.19247467438494936,0.869281045751634,0.31516587677725116,0.8542625966923836
11,1.7012299504545,0.8113761467889908,0.1986644407345576,0.7777777777777778,0.31648936170212766,0.8284288313562854
